Dataset,Method,Dimensions,K-Nearest Neighbors Neighbors,random_state,Accuracy,Precision,Recall,F1 Score,ROC AUC Score,Time Taken (seconds)
Large,Random Projection,50,5,44,0.8358,0.838959583878261,0.8358000000000001,0.8350964320917683,0.9630657444444444,0.6625142489210702
Large,Baseline,784,5,44100,0.8411,0.8450275579059422,0.8411,0.8413856223406471,0.9583154333333332,5.117516250000335
Large,PCA,100,5,44,0.8678,0.8683394021263258,0.8677999999999999,0.8668170246998732,0.9726346722222221,1.0599343740032054
Large,Random Projection,100,5,44,0.8476,0.8506006152919025,0.8475999999999999,0.8469720353346819,0.9668794,0.9042977080098353
Large,Baseline,784,5,44200,0.8422,0.8456800619991043,0.8422000000000001,0.8421716874699495,0.9576958888888891,5.104464375006501
Large,PCA,200,5,44,0.8679,0.8689552437124103,0.8679,0.8670058378532843,0.9724172555555555,1.6986205010325648
Large,Random Projection,200,5,44,0.8544,0.8574831956398208,0.8544,0.8536423115725584,0.9681803055555556,1.7035311670042574
Large,Baseline,784,5,44500,0.8436,0.8467819910436563,0.8435999999999998,0.8434993197163134,0.958822111111111,4.986700541980099
Large,PCA,500,5,44,0.8608,0.8629935220921349,0.8607999999999999,0.8598668177249775,0.9702506999999999,3.584620665991679
Large,Random Projection,500,5,44,0.8553,0.8577411586039541,0.8553,0.8546466286060557,0.9690114000000001,3.459574207023252
Small,Baseline,536,5,45002,0.7681159420289855,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7798319327731092,0.007575249997898936
Small,PCA,2,5,45,0.5072463768115942,0.5161290322580645,0.45714285714285713,0.48484848484848486,0.5235294117647059,0.007954874949064106
Small,Random Projection,2,5,45,0.6086956521739131,0.6666666666666666,0.45714285714285713,0.5423728813559322,0.6357142857142857,0.005608375009614974
Small,Baseline,536,5,45005,0.7246376811594203,0.75,0.6857142857142857,0.7164179104477612,0.8533613445378152,0.005670249985996634
Small,PCA,5,5,45,0.7536231884057971,0.7647058823529411,0.7428571428571429,0.7536231884057971,0.8117647058823529,0.008015084022190422
Small,Random Projection,5,5,45,0.6086956521739131,0.625,0.5714285714285714,0.5970149253731343,0.7067226890756302,0.013251791941002011
Small,Baseline,536,5,45010,0.7536231884057971,0.78125,0.7142857142857143,0.746268656716418,0.85,0.005137792031746358
Small,PCA,10,5,45,0.7391304347826086,0.7575757575757576,0.7142857142857143,0.7352941176470589,0.8436974789915966,0.03755308303516358
Small,Random Projection,10,5,45,0.7246376811594203,0.75,0.6857142857142857,0.7164179104477612,0.8218487394957983,0.017448458005674183
Small,Baseline,536,5,45020,0.7971014492753623,0.8387096774193549,0.7428571428571429,0.7878787878787878,0.857563025210084,0.007586457999423146
Small,PCA,20,5,45,0.8115942028985508,0.7894736842105263,0.8571428571428571,0.821917808219178,0.8621848739495799,0.01860912499250844
