Dataset,Method,Dimensions,K-Means Clusters,n_init,random_state,Adjusted Rand Index (ARI),Normalized Mutual Information (NMI),Silhouette Score (SS),SS Sample Size,SS Random State,Explained Variance,Time Taken (seconds)
Medium,Random Projection,50,6,10,44,0.4299894133138378,0.5720506139290252,0.16105196259676177,,,,0.14535716699901968
Medium,Baseline,561,6,10,44100,0.4557828196272473,0.5842791619357577,0.14522332813824454,,,,0.8972231669467874
Medium,PCA,100,6,10,44,0.4555594112084436,0.5841135135010199,0.153678602521486,,,0.9730111912684988,0.4521496249944903
Medium,Random Projection,100,6,10,44,0.4354247497651619,0.5735074517734797,0.15931425766890814,,,,0.2976547919679433
Medium,Baseline,561,6,10,44200,0.454831385509881,0.5832384825706508,0.14448806009274962,,,,0.6999282910255715
Medium,PCA,200,6,10,44,0.4552352294365812,0.583448591060975,0.14675647637718672,,,0.9953591250019421,0.3506096659693867
Medium,Random Projection,200,6,10,44,0.4419920042638009,0.5781556579961825,0.15151377920021983,,,,0.3262989579816349
Medium,Baseline,561,6,10,44500,0.454831385509881,0.5832384825706509,0.14448806009274962,,,,2.329292291018646
Medium,PCA,500,6,10,44,0.455755085259575,0.5842556779696725,0.14532120620473762,,,0.9999999999999994,0.9603381240740418
Medium,Random Projection,500,6,10,44,0.46053209694051667,0.5877696516855285,0.15065269033237746,,,,0.6682591249700636
Large,Baseline,784,10,10,44002,0.348574110496596,0.5124916064771994,0.154402422307664,,,,10.068808334006462
Large,PCA,2,10,10,44,0.26142805692223764,0.41813032393789773,0.3970568063600839,,,0.46739021811509207,0.5321027919999324
Large,Random Projection,2,10,10,44,0.06406472608588422,0.13446949479855483,0.31654320436776495,,,,0.27027591702062637
Large,Baseline,784,10,10,44005,0.3492321034427807,0.5127557678073478,0.1546803609896738,,,,9.999487166991457
Large,PCA,5,10,10,44,0.33591044975339546,0.487597533990456,0.315088696374139,,,0.6157128177289273,0.7166735419887118
Large,Random Projection,5,10,10,44,0.17392054543063365,0.2704266771944414,0.1735412990204107,,,,0.4197125830105506
Large,Baseline,784,10,10,44010,0.34860002924368816,0.5124959660746818,0.15440281245616885,,,,10.052539416006766
Large,PCA,10,10,10,44,0.34811463635495415,0.5106669153646507,0.2928586385316205,,,0.7195458980888265,0.5658116249833256
Large,Random Projection,10,10,10,44,0.2480291763962289,0.36226311879032563,0.14441497973878098,,,,0.559023541980423
Large,Baseline,784,10,10,44020,0.34936482621902837,0.5128523430291035,0.15468147940853344,,,,10.759413167019375
Large,PCA,20,10,10,44,0.3478470571042246,0.5114267459890566,0.24525908242627323,,,0.7848278490948407,0.4795940410112962
Large,Random Projection,20,10,10,44,0.3255507872419944,0.43719994224270353,0.136066800259269,,,,0.5611908750142902
Large,Baseline,784,10,10,44050,0.34940631583467524,0.5128973287236689,0.15468137108767666,,,,10.484056667017285
Large,PCA,50,10,10,44,0.3486042658713619,0.5125340303938634,0.20119120711297503,,,0.8625453344035788,1.1896272920421325
Large,Random Projection,50,10,10,44,0.35023836205728615,0.5026126162577058,0.1410468721571918,,,,0.9899961670744233
Large,Baseline,784,10,10,44100,0.3493056924781105,0.5128296369412216,0.15462173827058207,,,,12.377712750050705
Large,PCA,100,10,10,44,0.3494080144960896,0.5128640365485349,0.18083018965595846,,,0.9123100962431275,1.3930939999991097
Large,Random Projection,100,10,10,44,0.3210638525497255,0.47560421633795547,0.1410794231613553,,,,1.1542343740002252
Large,Baseline,784,10,10,44200,0.3493056924781105,0.5128296369412215,0.15462173827058207,,,,12.24454720801441
Large,PCA,200,10,10,44,0.34848456412052065,0.51241368877734,0.16674483441687377,,,0.9536634114273629,3.482203957042657
Large,Random Projection,200,10,10,44,0.33423310793576444,0.49279773797920856,0.13433518583419643,,,,2.2055535839754157
Large,Baseline,784,10,10,44500,0.3493056924781105,0.5128296369412216,0.15462173827058207,,,,17.272235124954022
Large,PCA,500,10,10,44,0.34940631583467524,0.5128973287236689,0.15645626244139185,,,0.9926156786617941,8.850433833023999
Large,Random Projection,500,10,10,44,0.3448246406325142,0.5079926056012195,0.15536249359808024,,,,6.897455167025328
Small,Baseline,536,2,10,45002,0.0640551480987628,0.05124753272198561,0.053230243103019034,,,,0.014476207958068699
Small,PCA,2,2,10,45,0.0432072155718407,0.03587590435716508,0.3261503255707258,,,0.13244607483378767,0.027006916992831975
Small,Random Projection,2,2,10,45,-0.0016117152463951136,0.0019892403584944062,0.29932592163799254,,,,0.0070112080429680645
Small,Baseline,536,2,10,45005,0.13617686147283758,0.10929581159011004,0.052213153789810354,,,,0.01411937497323379
