Dataset,Method,Dimensions,K-Means Clusters,n_init,random_state,Adjusted Rand Index (ARI),Normalized Mutual Information (NMI),Silhouette Score (SS),SS Sample Size,SS Random State,Time Taken (seconds)
Medium,Random Projection,5,6,10,42,0.34740575999040235,0.46296908939023124,0.21511323581784403,,,0.06523950002156198
Medium,Random Projection,10,6,10,42,0.4190434318479978,0.5411158161796796,0.17599332829175485,,,0.05711120902560651
Medium,Random Projection,20,6,10,42,0.475727798164999,0.5861170336281054,0.15421570541197593,,,0.0656870829698164
Medium,Random Projection,50,6,10,42,0.4792911736863982,0.5921040687706415,0.13950211114156522,,,0.08676991701941006
Medium,Random Projection,100,6,10,42,0.4399556057148062,0.5700609513358016,0.15264504724490136,,,0.11640620799153112
Medium,Random Projection,200,6,10,42,0.4504213512337313,0.5795189068615797,0.15441307841696253,,,0.1393807920103427
Medium,Random Projection,500,6,10,42,0.45212772105013377,0.5846414675586922,0.1458149704596222,,,0.4992406250385102
Large,Random Projection,2,10,10,42,0.10357325367993984,0.19007330236842998,0.32077753688885763,1000,42,0.2821546250197571
Large,Random Projection,5,10,10,42,0.18308079863728588,0.2816888013622963,0.16991961237481287,1000,42,0.37460266702692024
Large,Random Projection,10,10,10,42,0.2390085641877215,0.36864572400639123,0.16615990030355113,1000,42,0.4330013340222649
Large,Random Projection,20,10,10,42,0.2753997842698833,0.4090632840746334,0.14064585501956436,1000,42,0.38071775101707317
Large,Random Projection,50,10,10,42,0.3153217019651511,0.47011593705951754,0.15456674249324653,1000,42,0.714725333993556
Large,Random Projection,100,10,10,42,0.33612347767882117,0.4979777039736348,0.17360000774139317,1000,42,1.413414415990701
Large,Random Projection,200,10,10,42,0.34696582887478716,0.5100720974529017,0.16444252881429672,1000,42,2.9510871240345296
Large,Random Projection,500,10,10,42,0.34458670518906603,0.5106131494461137,0.16332956930071846,1000,42,6.97495079197688
